output_file_name;data_fname;params_file_name;lam_bounds;filter_bad_values;interpolate_bad_values;nsmooth;and_mask;or_mask;reject_badpix;deredden;wave_range;wave_mask;decompose_host;host_prior;host_prior_scale;host_line_mask;decomp_na_mask;qso_type;npca_gal;host_type;npca_qso;Fe_uv_op;poly;BC;rej_abs_conti;rej_abs_line;initial_guess;n_pix_min_conti;param_file_name;MC;MCMC;nburn;nsamp;nthin;epsilon_jitter;linefit;save_result;plot_fig;save_fig;plot_corner;save_fits_path;save_fits_name;verbose;kwargs_plot;kwargs_conti_emcee;kwargs_line_emcee
SDSS_2021_v1;spec-015167-59252-6747964707.fits;qsopar3.fits;None;True;False;1;False;False;False;False;None;None;True;False;0.2;True;True;global;10;BC03;5;False;False;False;False;False;None;100;qsopar3.fits;False;False;20;200;10;0.0;True;True;True;True;True;output/;None;False;{'save_fig_path': 'output/', 'broad_fwhm': 1200};{};{}
SDSS_2021_v2;spec-015167-59252-6747964707.fits;qsopar3.fits;None;True;False;1;False;False;False;False;None;None;True;True;0.2;True;True;DZBIN1;10;PCA;5;True;True;False;False;False;None;100;qsopar3.fits;False;False;20;200;10;0.0;True;True;True;True;True;output/;None;False;{'save_fig_path': 'output/', 'broad_fwhm': 1200};{};{}
SDSS_2021_v3;spec-015167-59252-6747964707.fits;qsopar.fits;None;True;False;1;False;False;False;False;None;None;True;True;0.2;True;True;DZBIN1;10;PCA;5;True;True;False;False;False;None;100;qsopar.fits;False;False;20;200;10;0.0;True;True;True;True;True;output/;None;False;{'save_fig_path': 'output/', 'broad_fwhm': 1200};{};{}
SDSS_2021_v4;spec-015167-59252-6747964707.fits;qsopar.fits;(3900, 9000);True;False;1;False;False;False;False;None;None;True;False;0.2;True;True;global;10;BC03;5;False;False;False;False;False;None;50;qsopar.fits;False;False;20;200;10;0.0;True;True;True;True;True;output/;None;True;{'save_fig_path': 'output/', 'broad_fwhm': 1200};{};{}
SDSS_2021_v5;spec-015167-59252-6747964707.fits;qsopar4.fits;(3900, 9000);True;False;1;False;False;False;False;None;None;True;False;0.2;True;True;global;10;BC03;5;False;False;False;False;False;None;50;qsopar4.fits;False;False;20;200;10;0.0;True;True;True;True;True;output/;None;True;{'save_fig_path': 'output/', 'broad_fwhm': 1200};{};{}
SDSS_2021_v6;spec-015167-59252-6747964707.fits;qsopar4.fits;(3900, 9000);True;False;1;False;False;False;False;(3900, 9000);None;True;False;0.2;True;True;global;10;BC03;5;False;False;False;False;False;None;50;qsopar4.fits;False;False;20;200;10;0.0;True;True;True;True;True;output/;None;True;{'save_fig_path': 'output/', 'broad_fwhm': 1200};{};{}
SDSS_2021_v7;spec-015167-59252-6747964707.fits;qsopar5.fits;(3900, 9000);True;False;1;False;False;False;False;(3900, 9000);None;True;False;0.2;True;True;global;10;BC03;5;True;True;False;True;True;None;50;qsopar5.fits;False;False;20;200;10;0.01;True;True;True;True;True;output/;None;True;{'save_fig_path': 'output/', 'broad_fwhm': 1200};{};{}
SDSS_2021_v8;spec-015167-59252-6747964707.fits;qsopar6.fits;(3900, 9000);True;False;1;False;False;False;False;(3900, 9000);None;True;False;0.2;True;True;global;10;BC03;5;True;True;False;True;True;None;50;qsopar6.fits;False;False;20;200;10;0.01;True;True;True;True;True;output/;None;False;{'save_fig_path': 'output/', 'broad_fwhm': 1200};{};{}
SDSS_2021_v9;spec-015167-59252-6747964707.fits;qsopar7.fits;(3900, 9000);True;False;1;False;False;False;False;(3900, 9000);None;True;False;0.2;True;True;global;10;BC03;5;True;True;False;True;True;None;50;qsopar7.fits;False;False;20;200;10;0.01;True;True;True;True;True;output/;None;False;{'save_fig_path': 'output/', 'broad_fwhm': 1200};{};{}
SDSS_2021_v10;spec-015167-59252-6747964707.fits;qsopar8.fits;(3900, 9000);True;False;1;False;False;False;False;(3900, 9000);None;True;False;0.2;True;True;global;10;BC03;5;True;True;False;True;True;None;50;qsopar8.fits;False;False;20;200;10;0.01;True;True;True;True;True;output/;None;False;{'save_fig_path': 'output/', 'broad_fwhm': 1200};{};{}
